county,name,sexcode,sex,agegrpcode,agegrp,yr_2010,yr_2015,yr_2020,yr_2025,yr_2030,yr_2035,yr_2040
5,Bronx County,1,Male,12,55-59,32476,36602,37798,35025,32369,33547,36111
5,Bronx County,1,Male,13,60-64,26607,29002,32620,33636,31218,28972,29975
5,Bronx County,1,Male,14,65-69,19009,22392,24425,27417,28230,26228,24414
5,Bronx County,1,Male,15,70-74,14093,14890,17554,19151,21457,22066,20519
5,Bronx County,1,Male,16,75-79,9842,10850,11559,13692,14967,16756,17222
5,Bronx County,1,Male,17,80-84,6657,6571,7241,7762,9221,10094,11296
5,Bronx County,1,Male,18,85+,5686,5827,5896,6280,6797,7868,8930
5,Bronx County,2,Female,1,0-4,50663,56154,56440,56109,56255,57117,58234
5,Bronx County,2,Female,2,5-9,48393,50462,55236,55585,55372,55565,56417
5,Bronx County,2,Female,3,10-14,48466,47918,49864,54005,54328,54160,54373
5,Bronx County,2,Female,4,15-19,56211,48877,48772,50559,54091,54378,54276
5,Bronx County,2,Female,5,20-24,56288,59850,53646,54108,55849,58910,59264
5,Bronx County,2,Female,6,25-29,55969,58012,60822,55616,56470,58092,60694
5,Bronx County,2,Female,7,30-34,52956,55183,57105,59272,54842,55862,57343
5,Bronx County,2,Female,8,35-39,49217,50822,53021,54729,56407,52562,53631
5,Bronx County,2,Female,9,40-44,51559,47650,49078,51206,52744,54101,50660
5,Bronx County,2,Female,10,45-49,52879,48849,45408,46654,48632,50005,51147
5,Bronx County,2,Female,11,50-54,47883,50015,46287,43180,44264,46123,47386
5,Bronx County,2,Female,12,55-59,40069,44050,45899,42513,39749,40659,42353
5,Bronx County,2,Female,13,60-64,34327,37073,40697,42278,39177,36710,37490
5,Bronx County,2,Female,14,65-69,26340,30493,32946,36112,37424,34681,32546
5,Bronx County,2,Female,15,70-74,20701,23084,26774,28939,31675,32749,30359
5,Bronx County,2,Female,16,75-79,16357,17076,19089,22203,24018,26263,27101
5,Bronx County,2,Female,17,80-84,12844,12138,12691,14226,16606,17986,19668
5,Bronx County,2,Female,18,85+,14353,14552,14400,14724,15896,18109,20370
7,Broome County,1,Male,1,0-4,5418,5777,5946,5853,5681,5581,5546
7,Broome County,1,Male,2,5-9,5599,5721,6055,6177,6083,5935,5864
